00:00:38  [main] 	Initializing Control Panel
00:00:38  [main] 	Windows Version:  Home  64-bit
00:00:38  [main] 	XAMPP Version: 8.2.12
00:00:38  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
00:00:38  [main] 	You are not running with administrator rights! This will work for
00:00:38  [main] 	most application stuff but whenever you do something with services
00:00:38  [main] 	there will be a security dialogue or things will break! So think 
00:00:38  [main] 	about running this application with administrator rights!
00:00:38  [main] 	XAMPP Installation Directory: "c:\xampp\"
00:00:38  [main] 	Checking for prerequisites
00:00:38  [main] 	All prerequisites found
00:00:38  [main] 	Initializing Modules
00:00:38  [Apache] 	Problem detected!
00:00:38  [Apache] 	Port 80 in use by "Unable to open process" with PID 4!
00:00:38  [Apache] 	Apache WILL NOT start without the configured ports free!
00:00:38  [Apache] 	You need to uninstall/disable/reconfigure the blocking application
00:00:38  [Apache] 	or reconfigure Apache and the Control Panel to listen on a different port
00:00:38  [main] 	Starting Check-Timer
00:00:38  [main] 	Control Panel Ready
00:00:41  [Apache] 	Problem detected!
00:00:41  [Apache] 	Port 80 in use by "Unable to open process" with PID 4!
00:00:41  [Apache] 	Apache WILL NOT start without the configured ports free!
00:00:41  [Apache] 	You need to uninstall/disable/reconfigure the blocking application
00:00:41  [Apache] 	or reconfigure Apache and the Control Panel to listen on a different port
00:00:41  [Apache] 	Attempting to start Apache app...
00:00:42  [Apache] 	Status change detected: running
00:00:44  [mysql] 	Attempting to start MySQL app...
00:00:44  [mysql] 	Status change detected: running
00:09:02  [main] 	Deinitializing Modules
00:09:02  [main] 	Deinitializing Control Panel

